filename,database,query,download_datetime,record_count,page,memo,url
ACM_decompil_20260115_1511.bib,ACM,"[Title: decompil*] OR [Abstract: decompil*] AND [E-Publication Date: (01/01/2018 TO 12/31/2026)]",2026-01-15 15:11:53,155,1,BibTeX形式,https://dl.acm.org/action/doSearch?fillQuickSearch=false&target=advanced&expand=dl&AfterYear=2018&BeforeYear=2026&AllField=Title%3A%28decompil*%29+OR+Abstract%3A%28decompil*%29&startPage=0&pageSize=50#
IEEE_decompil_20260115_1522_p1.bib,IEEE,"(""Document Title"":decompil*) OR (""Abstract"":decompil*)",2026-01-15 15:22:22,100,1,BibTeX形式,https://ieeexplore.ieee.org/search/searchresult.jsp?action=search&newsearch=true&matchBoolean=true&queryText=(%22Document%20Title%22:decompil*)%20OR%20(%22Abstract%22:decompil*)&highlight=true&returnType=SEARCH&matchPubs=true&rowsPerPage=100&pageNumber=1&ranges=2018_2026_Year&returnFacets=ALL
IEEE_decompil_20260115_1522_p2.bib,IEEE,"(""Document Title"":decompil*) OR (""Abstract"":decompil*)",2026-01-15 15:35:34,22,2,BibTeX形式,https://ieeexplore.ieee.org/search/searchresult.jsp?action=search&newsearch=true&matchBoolean=true&queryText=(%22Document%20Title%22:decompil*)%20OR%20(%22Abstract%22:decompil*)&highlight=true&returnType=SEARCH&matchPubs=true&rowsPerPage=100&pageNumber=1&ranges=2018_2026_Year&returnFacets=ALL
WoS_decompil_20260115_1552.bib,WoS,"decompil* (Title) or decompil* (Abstract)",2026-01-15 15:52:17,111,1,BibTeX形式,https://www.webofscience.com/wos/woscc/summary/58afb3ce-ea43-42c7-90ce-fd19869eb255-0198b445eb/relevance/1
arXiv_decompil_20260115_1700.bib,arXiv,"AND title=decompil*; OR abstract=decompil*",2026-01-15 17:00:00,100,1,BibTeX形式,https://arxiv.org/search/advanced?advanced=&terms-0-operator=AND&terms-0-term=decompil*&terms-0-field=title&terms-1-operator=OR&terms-1-term=decompil*&terms-1-field=abstract&classification-computer_science=y&classification-physics_archives=all&classification-include_cross_list=include&date-year=&date-filter_by=date_range&date-from_date=2018&date-to_date=2026&date-date_type=submitted_date&abstracts=show&size=200&order=-announced_date_first
